""	"caja"	"dosis"	"hongo"	"biomasa"
"1"	1	0	"sin_inoculo"	21.2
"2"	2	0	"sin_inoculo"	17.6
"3"	3	0	"sin_inoculo"	18.3
"4"	4	0	"sin_inoculo"	16.4
"5"	5	0	"sin_inoculo"	17.7
"6"	6	0	"con_inoculo"	18.3
"7"	7	0	"con_inoculo"	18.1
"8"	8	0	"con_inoculo"	19.9
"9"	9	0	"con_inoculo"	19.4
"10"	10	0	"con_inoculo"	17.9
"11"	11	10	"sin_inoculo"	11.7
"12"	12	10	"sin_inoculo"	13.6
"13"	13	10	"sin_inoculo"	15
"14"	14	10	"sin_inoculo"	13.1
"15"	15	10	"sin_inoculo"	12.4
"16"	16	10	"con_inoculo"	14.5
"17"	17	10	"con_inoculo"	14.1
"18"	18	10	"con_inoculo"	19.6
"19"	19	10	"con_inoculo"	15.3
"20"	20	10	"con_inoculo"	15.8
"21"	21	20	"sin_inoculo"	10.6
"22"	22	20	"sin_inoculo"	10.5
"23"	23	20	"sin_inoculo"	7
"24"	24	20	"sin_inoculo"	10.9
"25"	25	20	"sin_inoculo"	9.9
"26"	26	20	"con_inoculo"	12.7
"27"	27	20	"con_inoculo"	13.2
"28"	28	20	"con_inoculo"	14
"29"	29	20	"con_inoculo"	15.1
"30"	30	20	"con_inoculo"	11.1
"31"	31	40	"sin_inoculo"	0.9
"32"	32	40	"sin_inoculo"	5.3
"33"	33	40	"sin_inoculo"	0.7
"34"	34	40	"sin_inoculo"	3.6
"35"	35	40	"sin_inoculo"	2.3
"36"	36	40	"con_inoculo"	7.3
"37"	37	40	"con_inoculo"	8.8
"38"	38	40	"con_inoculo"	9.9
"39"	39	40	"con_inoculo"	12.1
"40"	40	40	"con_inoculo"	9.6
"41"	1	0	"sin_inoculo"	21.6
"42"	2	0	"sin_inoculo"	17.6
"43"	3	0	"sin_inoculo"	17.8
"44"	4	0	"sin_inoculo"	16.7
"45"	5	0	"sin_inoculo"	17.8
"46"	6	0	"con_inoculo"	18.2
"47"	7	0	"con_inoculo"	17.8
"48"	8	0	"con_inoculo"	20.8
"49"	9	0	"con_inoculo"	19.9
"50"	10	0	"con_inoculo"	18.8
"51"	11	10	"sin_inoculo"	12.1
"52"	12	10	"sin_inoculo"	13
"53"	13	10	"sin_inoculo"	15.9
"54"	14	10	"sin_inoculo"	12.2
"55"	15	10	"sin_inoculo"	12
"56"	16	10	"con_inoculo"	15.2
"57"	17	10	"con_inoculo"	14.3
"58"	18	10	"con_inoculo"	19.5
"59"	19	10	"con_inoculo"	14.9
"60"	20	10	"con_inoculo"	15.4
"61"	21	20	"sin_inoculo"	10.2
"62"	22	20	"sin_inoculo"	11.3
"63"	23	20	"sin_inoculo"	7.8
"64"	24	20	"sin_inoculo"	10.7
"65"	25	20	"sin_inoculo"	10.1
"66"	26	20	"con_inoculo"	12.6
"67"	27	20	"con_inoculo"	13.3
"68"	28	20	"con_inoculo"	13.9
"69"	29	20	"con_inoculo"	15.6
"70"	30	20	"con_inoculo"	10.7
"71"	31	40	"sin_inoculo"	0.6
"72"	32	40	"sin_inoculo"	5.6
"73"	33	40	"sin_inoculo"	1.6
"74"	34	40	"sin_inoculo"	3.5
"75"	35	40	"sin_inoculo"	1.8
"76"	36	40	"con_inoculo"	6.9
"77"	37	40	"con_inoculo"	9.1
"78"	38	40	"con_inoculo"	9
"79"	39	40	"con_inoculo"	12.4
"80"	40	40	"con_inoculo"	9.7
