"tratamiento","potrero","biomasa"
"pastoreo",1,8.2
"pastoreo",1,8.8
"pastoreo",1,9.5
"pastoreo",1,12.7
"pastoreo",1,15.2
"pastoreo",1,13
"pastoreo",1,8.5
"pastoreo",1,6.7
"pastoreo",1,9.9
"pastoreo",1,8.5
"pastoreo",2,4.9
"pastoreo",2,10.5
"pastoreo",2,7.5
"pastoreo",2,9
"pastoreo",2,6.4
"pastoreo",2,8.5
"pastoreo",2,4.9
"pastoreo",2,3.7
"pastoreo",2,6.6
"pastoreo",2,7.5
"pastoreo",3,10.1
"pastoreo",3,12.5
"pastoreo",3,6.9
"pastoreo",3,5.8
"pastoreo",3,6.4
"pastoreo",3,6.9
"pastoreo",3,9.5
"pastoreo",3,6.9
"pastoreo",3,8.7
"pastoreo",3,11.7
"pastoreo",4,16.9
"pastoreo",4,8.8
"pastoreo",4,6.3
"pastoreo",4,11.3
"pastoreo",4,9.3
"pastoreo",4,10.1
"pastoreo",4,11.6
"pastoreo",4,11
"pastoreo",4,9.9
"pastoreo",4,8.6
"pastoreo",5,12.8
"pastoreo",5,11.9
"pastoreo",5,14.7
"pastoreo",5,12.2
"pastoreo",5,12.3
"pastoreo",5,12.1
"pastoreo",5,12.2
"pastoreo",5,14.8
"pastoreo",5,12.6
"pastoreo",5,11.9
"clausura",6,8.6
"clausura",6,6.2
"clausura",6,5.6
"clausura",6,0.6
"clausura",6,7.5
"clausura",6,3.4
"clausura",6,7.7
"clausura",6,1.9
"clausura",6,8.7
"clausura",6,7.6
"clausura",7,3.7
"clausura",7,6.9
"clausura",7,6.2
"clausura",7,5.8
"clausura",7,4.2
"clausura",7,5.9
"clausura",7,6.2
"clausura",7,7
"clausura",7,5.9
"clausura",7,2.9
"clausura",8,6.8
"clausura",8,5.3
"clausura",8,5.9
"clausura",8,5.9
"clausura",8,8.3
"clausura",8,3.1
"clausura",8,7.2
"clausura",8,5.7
"clausura",8,4.6
"clausura",8,5.3
"clausura",9,8.7
"clausura",9,9.3
"clausura",9,7.9
"clausura",9,10.4
"clausura",9,6.2
"clausura",9,5.3
"clausura",9,6.3
"clausura",9,4.7
"clausura",9,8.4
"clausura",9,6.6
"clausura",10,8.6
"clausura",10,12.2
"clausura",10,9.3
"clausura",10,8.6
"clausura",10,8.1
"clausura",10,7.2
"clausura",10,10.3
"clausura",10,8
"clausura",10,7.7
"clausura",10,7.8
