raiz	peso_sem	pastoreo
6.225	59.77	sin
6.487	60.98	sin
4.919	14.73	sin
5.13	19.28	sin
5.417	34.25	sin
5.359	35.53	sin
7.614	87.73	sin
6.352	63.21	sin
4.975	24.25	sin
6.93	64.34	sin
6.248	52.92	sin
5.451	32.35	sin
6.013	53.61	sin
5.928	54.86	sin
6.264	64.81	sin
7.181	73.24	sin
7.001	80.64	sin
4.426	18.89	sin
7.302	75.49	sin
5.836	46.73	sin
10.253	116.05	con
6.958	38.94	con
8.001	60.77	con
9.039	84.37	con
8.91	70.11	con
6.106	14.95	con
7.691	70.7	con
8.988	80.31	con
8.975	82.35	con
9.844	105.07	con
8.508	73.79	con
7.354	50.08	con
8.643	78.28	con
7.916	41.48	con
9.351	98.47	con
7.066	40.15	con
8.158	52.26	con
7.382	46.64	con
8.515	71.01	con
8.53	83.03	con
