Cell ID	Longitude	Latitude	Bird Richness	Bird Beta - Jaccard	Mammal Richness	Mammal Beta - Jaccard	Amphibian Richness	Amphibian Beta - Jaccard	Cell Area	EcoRegions Count	EcoRegions Jaccard	AET	NDVI	Topographical Range	Topographical Average	PET	Annual Mean Temperature	Mean Temperature Diurnal Range	Isothermality	Mean Temperature of Warmest Quarter	Mean Temperature of Coldest Quarter	Mean Relative Humidity	Mean Annual Precipitation	Precipitation Seasonality	Precipitation in the Wettest Quarte	Precipitation of Driest Quarter
3302	-61.5	-19.5	296	0.267	114	0.296	29	0.396	11576.102	1	0.5	63.76	0.688888889	253	329.319	119.615	246.778	131	62.417	274.722	207.25	64.965	526.111	58.028	223.944	33.972
3303	-61.5	-18.5	325	0.309	130	0.231	34	0.452	11646.503	2	0.333	83.405	0.787777778	242	414.903	123.43	247.806	130.222	65	270.278	214.333	66.188	706.361	57.389	313.167	55.25
3304	-61.5	-17.5	369	0.238	134	0.247	37	0.507	11713.477	2	0.6	90.927	0.847777778	355	433.444	125.093	245.139	131.667	67.194	263.056	215.222	67.942	952.389	58.75	439.583	82.833
3305	-61.5	-16.5	392	0.231	151	0.17	51	0.354	11777.001	1	0.833	92.927	0.915555556	286	432.035	114.188	234.556	139.333	68.278	249.806	207.333	69.507	1109.389	60.722	512.75	83.194
3306	-61.5	-15.5	401	0.38	159	0.154	63	0.222	11837.052	3	0.5	95.338	0.961111111	313	362.535	118.805	239.361	137.528	68.806	252.833	215.139	71.549	1209.806	64.611	564.139	69.389
3307	-61.5	-14.5	454	0.294	165	0.127	66	0.267	11893.607	3	0.4	95.9	0.985555556	113	344.66	116.153	242.056	132.778	69.75	252.444	222.722	73.583	1392.444	67.861	658	64.167
3308	-61.5	-13.5	529	0.179	163	0.138	76	0.2	11946.646	3	0.25	92.75	0.907777778	165	307.618	107.79	240.139	129.833	70.861	247.694	225.972	75.59	1586.139	69.806	750.778	57.778
3309	-61.5	-12.5	494	0.212	146	0.215	80	0.231	11996.147	2	0.5	84.993	0.93	144	374.931	96.07	233.194	129.361	70.167	238.306	223.444	78.083	1656.722	69.722	790.889	51.222
3310	-61.5	-11.5	500	0.164	137	0.194	84	0.16	12042.09	1	0.667	87.483	0.903333333	224	313.34	97.895	237.194	130	69.167	242.306	229.611	79.806	1898.417	69.833	883.389	52.583
3311	-61.5	-10.5	524	0.11	135	0.187	90	0.126	12084.455	1	0.5	93.198	0.971111111	201	244.889	101.032	242.639	126.028	68.611	248.25	236	82.049	1842.25	76	904.806	32.083
3312	-61.5	-9.5	544	0.059	143	0.154	89	0.128	12123.224	1	0.5	103.642	0.966666667	128	207.438	113.025	250.833	117.222	68.333	256.472	244.472	83.535	2006.417	73.5	969.444	42.944
3313	-61.5	-8.5	536	0.098	150	0.138	92	0.089	12158.377	1	0.667	110.05	0.852222222	71	185.382	119.963	256.944	109.444	68.778	262.472	251.222	84.514	2335.472	66.389	1049.444	74.778
3314	-61.5	-7.5	526	0.11	157	0.103	84	0.176	12189.896	2	0.333	117.022	0.888888889	96	110.444	126.828	261.139	103.333	70.944	266.444	256.722	85.243	2465.833	58.667	1012.694	114.528
3315	-61.5	-6.5	517	0.136	161	0.096	85	0.124	12217.766	3	0.25	124.662	0.888888889	45	63.264	132.36	264.056	96.639	75.5	268.75	259.25	85.035	2714.361	48.833	1066.083	215.028
3316	-61.5	-5.5	529	0.124	163	0.155	88	0.111	12241.969	3	0.4	129.222	0.888888889	35	47.5	136.52	265.472	90.806	80.333	269.778	260.306	85.458	2607.972	44.806	997.611	255.167
3317	-61.5	-4.5	526	0.178	163	0.181	91	0.09	12262.491	2	0.714	128.412	0.85	17	50.368	134.368	267	87.722	82.639	271.694	262.333	85.444	2516.028	37.694	889.861	306.778
3318	-61.5	-3.5	562	0.165	171	0.178	93	0.123	12279.317	3	0.571	128.583	0.882222222	17	47.299	135.48	269.194	86.556	84.111	274.444	265.056	84.465	2359.639	38.194	839.667	300.778
3319	-61.5	-2.5	502	0.254	166	0.174	86	0.14	12292.434	2	0.667	129.9	0.874444444	44	41.493	135.438	269.556	88.25	84.778	274.444	265.306	83.486	2532.972	37.25	927.222	352.389
3320	-61.5	-1.5	502	0.142	175	0.093	80	0.149	12301.828	4	0.2	129.06	0.89	78	44.236	133.382	270.472	91.5	86.028	274.667	265.917	83.257	2271.861	34.222	855.75	368.444
3321	-61.5	-0.5	430	0.198	167	0.102	73	0.189	12307.489	4	0.333	129.76	0.962222222	69	50.569	135.653	270.944	94.75	87.333	274.861	266.306	81.569	2167.111	36.139	838.806	359.722
3323	-61.5	1.5	424	0.226	170	0.11	76	0.062	12307.569	6	0.143	102.795	0.884444444	430	205.688	130.355	268.361	100.028	86.75	272.694	261.222	78.681	1843.306	61.889	892.056	183.389
3324	-61.5	2.5	459	0.226	177	0.083	62	0.244	12301.971	3	0.5	100.715	0.974444444	340	213.708	141.035	267.278	102.694	85.583	271.972	258.778	76.771	1781.5	70.361	915.444	150.167
3357	-60.5	-19.5	275	0.306	110	0.29	36	0.25	11576.102	1	0.667	76.313	0.771111111	661	386.465	125.627	248.028	131.472	63.611	275.667	208.944	65.986	688.611	56.139	285.833	49.556
3358	-60.5	-18.5	333	0.207	121	0.214	37	0.315	11646.503	2	0.333	85.823	0.885555556	531	569.826	122.43	244.333	130.056	65.833	266.278	211.333	67.007	910.972	54.889	393.028	75.222
3359	-60.5	-17.5	364	0.18	132	0.219	43	0.283	11713.477	2	0.5	87.495	0.888888889	483	553.528	124.725	244.417	126	65.389	262.611	213.639	67.744	1273.472	57.667	586.972	115.333
3360	-60.5	-16.5	382	0.294	146	0.184	45	0.4	11777.001	3	0.25	97.365	0.888888889	369	394.056	125.332	238.972	137.194	67.083	254.417	211.833	69.132	1333.167	62.278	630.639	93.778
3361	-60.5	-15.5	415	0.355	151	0.179	52	0.366	11837.052	3	0.25	95.595	0.856666667	642	290.451	116.192	242.083	138.417	68.861	255.472	218.417	72.16	1332.667	67.694	633.278	64.583
3362	-60.5	-14.5	585	0.111	160	0.168	65	0.278	11893.607	2	0.5	89.108	0.893333333	360	459.278	100.472	232.194	135.306	70.25	242.583	213.333	75.681	1519.722	68.028	710.861	64.611
3363	-60.5	-13.5	566	0.131	147	0.226	72	0.25	11946.646	3	0	84.075	0.953333333	233	398.222	92.978	230	130.778	70.528	237.417	216.472	77.104	1821.806	69	851.972	61.389
3364	-60.5	-12.5	499	0.212	135	0.254	75	0.235	11996.147	3	0	76.463	0.925555556	188	485.778	84.157	221.75	128.333	69.583	226.583	212.611	78.819	1857.694	70.222	865.944	51.389
3365	-60.5	-11.5	496	0.159	133	0.213	79	0.186	12042.09	2	0.333	77.892	0.988888889	250	342.25	87.138	230.972	128.75	68.472	235.611	223.139	80.563	1959.917	72.194	943.972	46.361
3366	-60.5	-10.5	513	0.113	136	0.139	82	0.172	12084.455	1	0.5	88.105	1	92	228.757	97.31	242.833	125.5	67.917	247.917	235.778	82.556	1918.972	74.417	931.75	39
3367	-60.5	-9.5	527	0.084	143	0.117	85	0.15	12123.224	1	0	103.565	0.99	162	196	114.39	250.722	119.361	67.611	256.083	244.528	83.563	2026.222	71.722	967.111	46.972
3368	-60.5	-8.5	526	0.077	151	0.112	84	0.143	12158.377	1	0.667	112.517	0.913333333	138	125.889	122.662	256.306	112.25	67.944	261.472	251.139	84.493	2381.806	64.583	1061.556	76.889
3369	-60.5	-7.5	513	0.084	156	0.088	84	0.125	12189.896	1	0.75	120.26	0.888888889	71	72.438	130.46	260.556	105.111	69.722	265.306	256.333	85.014	2525.389	55.833	1032.694	124.75
3370	-60.5	-6.5	512	0.12	161	0.096	85	0.076	12217.766	1	0.75	125.188	0.888888889	61	65.451	133.155	264.611	98.083	73.306	269.056	260	85.014	2453.167	50.194	976.222	173.139
3371	-60.5	-5.5	533	0.122	163	0.109	86	0.131	12241.969	3	0	128.697	0.888888889	83	52.132	136.98	267.25	91.944	77.389	271.667	262.167	85	2471.917	46.028	966.917	232.917
3372	-60.5	-4.5	533	0.19	163	0.177	89	0.11	12262.491	3	0.4	126.662	0.87	41	50.743	135.435	269.389	87.611	80.333	274.333	264.361	84.486	2315.583	39.556	851.611	270.056
3373	-60.5	-3.5	589	0.167	171	0.174	89	0.16	12279.317	4	0.2	125.04	0.806666667	27	51.91	137.548	272.222	84.778	82.417	278.167	267.583	83.472	2245.417	44.056	865.278	249.917
3374	-60.5	-2.5	545	0.207	173	0.152	87	0.171	12292.434	2	0.667	124.257	0.808888889	46	47.563	134.588	271.389	85.917	82.861	277.139	267.083	82.493	2539.806	39.667	958.556	322.917
3375	-60.5	-1.5	447	0.254	168	0.111	82	0.137	12301.828	1	0.8	127.645	0.926666667	83	77.292	133.488	270.389	89.361	84	275.417	266.056	82.014	2546.611	42.806	1055.333	361.722
3376	-60.5	-0.5	417	0.232	168	0.097	76	0.165	12307.489	2	0.6	129.738	1	111	167.799	137.58	270.528	92.861	85.833	275.444	265.861	81.514	2094.917	43.194	868.111	307.889
3378	-60.5	1.5	429	0.233	168	0.156	73	0.161	12307.569	3	0.625	101.795	0.965555556	180	176.618	142.54	270.083	97.417	85.111	275.639	262.556	76.764	1864.972	69.639	971.139	153.139
3379	-60.5	2.5	511	0.141	176	0.129	67	0.256	12301.971	3	0.571	92.703	0.828888889	355	185.938	138.282	269.972	97.944	82.944	275.944	260.417	74.09	1632.917	81.194	914.056	95.222
