GRUPO	Individuo	Tiempo	Histamina
Mor	1	1	40
Mor	1	2	200
Mor	1	3	80
Mor	2	1	20
Mor	2	2	180
Mor	2	3	60
Mor	3	1	70
Mor	3	2	220
Mor	3	3	90
Mor	4	1	50
Mor	4	2	290
Mor	4	3	40
Mor	5	1	70
Mor	5	2	240
Mor	5	3	100
Mor	6	1	40
Mor	6	2	280
Mor	6	3	100
Mor	7	1	70
Mor	7	2	220
Mor	7	3	70
Mor	8	1	50
Mor	8	2	200
Mor	8	3	60
Tri	9	1	30
Tri	9	2	100
Tri	9	3	120
Tri	10	1	30
Tri	10	2	60
Tri	10	3	140
Tri	11	1	50
Tri	11	2	130
Tri	11	3	160
Tri	12	1	60
Tri	12	2	150
Tri	12	3	100
Tri	13	1	20
Tri	13	2	90
Tri	13	3	90
Tri	14	1	40
Tri	14	2	90
Tri	14	3	90
Tri	15	1	70
Tri	15	2	120
Tri	15	3	120
Tri	16	1	60
Tri	16	2	110
Tri	16	3	130
